method,path,body,single_q,double_q,dashes,braces,spaces,SQL Badwords,XSS Badwords,Command Injection Badords,class
GET,/,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_careers.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_other.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_lending.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_press.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_loans.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_savings.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_investor.htm,,0,0,0,0,0,0,0,0,Legit
GET,/appsecdev/altoroj/,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_investments.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_deposit.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_cards.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_other.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=privacy.htm,,0,0,0,0,0,0,0,0,Legit
GET,/survey_questions.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_insurance.htm,,0,0,0,0,0,0,0,0,Legit
GET,/cgi.exe,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_checking.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=personal_cards.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_contact.htm,,0,0,0,0,0,0,0,0,Legit
GET,/subscribe.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_retirement.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/default.jsp?content=security.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_about.htm,,0,0,0,0,0,0,0,0,Legit
GET,/login.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,0,0,Legit
GET,/feedback.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=security.htm,,0,0,0,0,0,0,0,0,Legit
GET,/status_check.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/swagger/index.html,,0,0,0,0,0,0,0,0,Legit
GET,/disclaimer.htm?url=http://www.microsoft.com,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_trainee.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_internships.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060817.htm,,0,0,0,0,0,0,0,0,Legit
GET,/high_yield_investments.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20061109.htm,,0,0,0,0,0,0,0,0,Legit
GET,/certsite/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060413.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/inside_points_of_interest.htm,,0,0,0,0,0,0,0,0,Legit
GET,/admin/clients.xls,,0,0,0,0,0,0,0,0,Legit
GET,/,,0,0,0,0,0,0,0,0,Legit
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,0,0,Legit
GET,/my%20documents/johnsmith/bank%20site%20documents/grouplife.htm,,0,0,0,0,3,0,0,0,Legit
GET,/index.jsp?content=inside_benefits.htm,,0,0,0,0,0,0,0,0,Legit
GET,/retirement.htm,,0,0,0,0,0,0,0,0,Legit
GET,/swagger/swagger-ui-standalone-preset.js,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_executives.htm,,0,0,0,0,0,1,0,0,Legit
GET,/survey_questions.jsp?step=a,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20061005.htm,,0,0,0,0,0,0,0,0,Legit
GET,/subscribe.swf,,0,0,0,0,0,0,0,0,Legit
GET,/images/icon_top.gif,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060921.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060518.htm,,0,0,0,0,0,0,0,0,Legit
GET,/disclaimer.htm?url=http://www.netscape.com,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060720.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/urchin.js,,0,0,0,0,0,0,0,0,Legit
GET,/privacypolicy.jsp?sec=careers&template=us,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_community.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=pr/20060928.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=loyaltymarketingprogrammanager:marketing,,0,0,0,0,0,0,0,0,Legit
GET,/security.htm,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=customerservicerepresentative:customerservice,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=mortgagelendingaccountexecutive:sales,,0,0,0,0,0,1,0,0,Legit
GET,/default.jsp,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=executiveassistant:administration,,0,0,0,0,0,1,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=operationalriskmanager:riskmanagement,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_jobs.htm&job=teller:consumaerbanking,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/products/acrobat/readstep2.html,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/index.jsp?content=inside_volunteering.htm,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/software/rational/offerings/websecurity/,,0,0,0,0,0,0,0,0,Legit
GET,/documents/johnsmith/voluteeringinformation.pdf,,0,0,0,0,0,0,0,0,Legit
GET,/products/software,,0,0,0,0,0,0,0,0,Legit
GET,/products?types[0]=software,,0,0,0,0,0,0,0,0,Legit
GET,/statements/terms.aspx,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/,,0,0,0,0,0,0,0,0,Legit
GET,/blog,,0,0,0,0,0,0,0,0,Legit
GET,/blog/,,0,0,0,0,0,0,0,0,Legit
GET,/blog/xss-without-event-handlers/,,0,0,0,0,0,0,0,0,Legit
GET,/blog/wp-content/plugins/ultimate-social-media-plus/js/shuffle/modernizr.custom.min.js?ver=5.9,,0,0,0,0,0,0,0,0,Legit
GET,/blog/author/brute/,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/blog/file-upload-xss/,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/blog/calling-remote-script-with-event-handlers/,,0,0,0,0,0,0,1,0,Legit
